;1. Gang Pinion -> 1. Gang Wheel\Powerloss;2. Gang Pinion -> 2. Gang Wheel\Powerloss;Konstant Pinion -> Konstant Wheel\Powerloss;1. Gang Pinion\Lifetime;1. Gang Wheel\Lifetime;2. Gang Pinion\Lifetime;2. Gang Wheel\Lifetime;Konstant Pinion\Lifetime;Konstant Wheel\Lifetime;1. Gang Pinion\contactDamage;1. Gang Wheel\contactDamage;2. Gang Pinion\contactDamage;2. Gang Wheel\contactDamage;Konstant Pinion\contactDamage;Konstant Wheel\contactDamage;1. Gang Pinion\Powerloss;1. Gang Wheel\Powerloss;2. Gang Pinion\Powerloss;2. Gang Wheel\Powerloss;Konstant Pinion\Powerloss;Konstant Wheel\Powerloss;Rolling Bearing 7\Lifetime;Rolling Bearing 8\Lifetime;Rolling Bearing 1\Lifetime;Rolling Bearing 2\Lifetime;Rolling Bearing 3\Lifetime;Rolling Bearing 4\Lifetime;Rolling Bearing 5\Lifetime;Rolling Bearing 6\Lifetime;Rolling Bearing 7\Powerloss;Rolling Bearing 8\Powerloss;Rolling Bearing 1\Powerloss;Rolling Bearing 2\Powerloss;Rolling Bearing 3\Powerloss;Rolling Bearing 4\Powerloss;Rolling Bearing 5\Powerloss;Rolling Bearing 6\Powerloss
0;103.599183;4.07064152e-07;76.107886;101824844.04287681;428512885.5491124;2.1600000000000003e+31;2.1600000000000003e+31;139438484.70804283;723337140.0066587;2121.28977;504.068856;0.0;0.0;1549.07019;298.61594;0.300867433;0.0;0.928517489;0.0;0.0;40.8674413;81579230.6;6213267.31;60193122.9;705513354.0;5791886.38;5612616.99;inf;4.45984194e+26;1.4041395;2.63875141;20.3713478;15.8836006;5.70291323;6.23265577;2.06943358e-16;1.00101796
1;102.69964;5.9228662e-07;75.6229346;101825240.5358495;428514554.31729776;2.1600000000000003e+31;2.1600000000000003e+31;121710315.95845884;631372263.4119223;2121.28151;504.066893;0.0;0.0;1774.70577;342.111956;0.830044795;0.0;1.56406809;0.0;0.0;47.5605031;90540613.4;6818078.14;88849205.2;1138461410.0;7865359.5;7426078.01;inf;5.39449954e+26;1.45420248;2.66632393;21.4026711;16.9583756;5.89785276;6.41475228;2.06943358e-16;1.15835423
2;100.188892;4.2536529e-07;75.608715;101825227.57537663;428514499.9099792;2.1600000000000003e+31;2.1600000000000003e+31;113330308.00874382;587900973.4701113;2121.28178;504.066957;0.0;0.0;1905.93323;367.408815;7.23921314;0.0;7.5444359;0.0;0.0;89.1213979;72178856.6;6980345.04;91368747.8;1075889830.0;8031493.82;7352057.52;inf;5.16310106e+26;1.56218775;2.64911865;21.3999572;17.0726134;6.2469345;6.75375787;2.65491859e-16;1.49266771
3;98.3181769;6.13003543e-08;73.9018629;101824950.60605998;428513333.55641156;2.1600000000000003e+31;2.1600000000000003e+31;119392206.77651262;619347072.6745554;2121.28755;504.068329;0.0;0.0;1809.16331;348.754373;1.83674745;0.0;2.6151273;0.0;0.0;56.7265479;53682823.2;10360486.0;270181013.0;4073812810.0;25998819.7;23344053.1;inf;1.138669e+27;2.17196416;2.74411443;25.9919586;21.5622978;6.61364425;6.98826224;2.06943358e-16;1.68968904
4;98.4360559;1.53443916e-08;73.9696006;101825116.69146587;428514032.3476554;2.1600000000000003e+31;2.1600000000000003e+31;119328803.98391587;619018169.1490475;2121.28409;504.067507;0.0;0.0;1810.12457;348.939677;1.94676866;0.0;2.72431985;0.0;0.0;57.5957209;72962056.4;10108093.8;257120372.0;4072370390.0;24659441.6;22242711.1;inf;1.11906849e+27;1.96373003;2.74604091;25.7804984;21.3519021;6.5971568;6.97180349;2.06943358e-16;1.67935161
5;98.5533105;1.35085965e-07;74.0368566;101825198.29432045;428514374.94322187;2.1600000000000003e+31;2.1600000000000003e+31;119265305.17995557;618688769.4680805;2121.28239;504.067104;0.0;0.0;1811.08831;349.125458;2.06015575;0.0;2.8360672;0.0;0.0;58.4729226;96463185.0;9775286.95;244918161.0;4070923440.0;23409397.9;21210122.0;inf;1.09911265e+27;1.79619593;2.75574288;25.5733652;21.1458307;6.58098767;6.95560483;2.06943358e-16;1.66918882
6;98.6699283;2.42494979e-07;74.1036038;101825248.21613124;428514585.77153504;2.1600000000000003e+31;2.1600000000000003e+31;119201823.26693986;618359456.4056984;2121.28135;504.066856;0.0;0.0;1812.05282;349.311388;2.17693314;0.0;2.95038794;0.0;0.0;59.358183;124573331.0;9415486.96;233505944.0;4069477430.0;22241512.3;20241077.9;inf;1.07901295e+27;1.65880438;2.76911686;25.3704366;20.9439642;6.56512849;6.93965787;2.06943358e-16;1.65919684
7;98.785969;3.58722306e-08;74.1698877;101825123.8917125;428514062.95170355;2.1600000000000003e+31;2.1600000000000003e+31;119138222.273611;618029528.214799;2121.28394;504.067471;0.0;0.0;1813.02017;349.497864;2.29712535;0.0;3.06730056;0.0;0.0;60.2515322;139631088.0;9164296.55;222820716.0;3854237990.0;21149223.3;19330763.5;inf;1.05390018e+27;1.59343054;2.77396715;25.1716068;20.7461931;6.54957537;6.92396099;2.06943358e-16;1.64937194
8;98.901403;8.84330008e-07;74.2357085;101824924.68526517;428513224.74240834;2.1600000000000003e+31;2.1600000000000003e+31;119074521.72546898;617699081.0465033;2121.28809;504.068457;0.0;0.0;1813.99007;349.684833;2.42075696;0.0;3.18682347;0.0;0.0;61.153;105036367.0;9249132.41;212805874.0;3616225240.0;20126636.6;18474847.3;inf;1.01433896e+27;1.70298882;2.74855837;24.9767659;20.5524081;6.53431857;6.90850657;2.06943358e-16;1.63971059
9;99.0158666;1.0765162e-06;74.3007859;101825655.27272312;428516299.6093915;2.1600000000000003e+31;2.1600000000000003e+31;119011689.90120134;617373140.8522416;2121.27287;504.06484;0.0;0.0;1814.94776;349.869448;2.54785261;0.0;3.308975;0.0;0.0;62.0626164;77511171.4;9310928.85;203413113.0;3397250360.0;19168619.1;17669624.2;inf;9.74919893e+26;1.83857743;2.7254296;24.7857585;20.3624791;6.51932648;6.89325877;2.06943358e-16;1.63020912
